Gene name	Human gene name	Human homology type
ANKRD17	ANKRD17	ortholog_one2one
FKBP5	FKBP5	ortholog_one2one
PMS2	PMS2	ortholog_one2one
IRF5	IRF5	ortholog_one2one
CCDC39	CCDC39	ortholog_one2one
	PEG10	ortholog_one2one
CLCN1	CLCN1	ortholog_one2one
C1H1orf87	C1orf87	ortholog_one2one
PFKL	PFKL	ortholog_one2one
UHMK1	UHMK1	ortholog_one2one
PHACTR2	PHACTR2	ortholog_one2one
GCM2	GCM2	ortholog_one2one
LZIC	LZIC	ortholog_one2one
PACRGL	PACRGL	ortholog_one2one
PEA15	PEA15	ortholog_one2one
GABRD	GABRD	ortholog_one2one
Metazoa_SRP	RN7SL870P	ortholog_one2one
C4H6orf141	C6orf141	ortholog_one2one
Metazoa_SRP	RN7SL475P	ortholog_one2one
THEMIS2	THEMIS2	ortholog_one2one
U6	RNU6-863P	ortholog_one2many
REV3L	REV3L	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
CSPG5	CSPG5	ortholog_one2one
MAK	MAK	ortholog_one2one
GLYATL3	GLYATL3	ortholog_one2one
NDUFA4	NDUFA4	ortholog_one2one
GAK	GAK	ortholog_one2one
TPST1	TPST1	ortholog_one2one
ABCB10	ABCB10	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
UBAP2L	UBAP2L	ortholog_one2one
	RSPH10B2	ortholog_one2many
	RSPH10B	ortholog_one2many
CYP2J2	CYP2J2	ortholog_one2one
CENPQ	CENPQ	ortholog_one2one
TULP1	TULP1	ortholog_one2one
CASQ1	CASQ1	ortholog_one2one
	TRGV10	ortholog_one2many
HDDC2	HDDC2	ortholog_one2one
U6	RNU6-313P	ortholog_one2one
BCLAF1	BCLAF1	ortholog_one2one
FAM131B	FAM131B	ortholog_one2one
U6	RNU6-730P	ortholog_one2one
CFAP298	CFAP298	ortholog_one2one
AGTR1	AGTR1	ortholog_one2one
SH2D1B	SH2D1B	ortholog_one2one
TNPO3	TNPO3	ortholog_one2one
CLSTN1	CLSTN1	ortholog_one2one
RHBG	RHBG	ortholog_one2one
U3	U3	ortholog_one2one
U4	RNU4-21P	ortholog_one2one
CPB1	CPB1	ortholog_one2one
MMUT	MMUT	ortholog_one2one
TEAD3	TEAD3	ortholog_one2one
LTV1	LTV1	ortholog_one2one
TMEM14B	TMEM14B	ortholog_one2many
UTS2B	UTS2B	ortholog_one2one
	CCZ1B	ortholog_many2many
	CCZ1	ortholog_many2many
STX12	PPP1R8	ortholog_one2one
SMARCC1	SMARCC1	ortholog_one2one
COX7A2L	COX7A2L	ortholog_one2many
SNRNP48	SNRNP48	ortholog_one2one
TSACC	TSACC	ortholog_one2one
RGS18	RGS18	ortholog_one2one
EVA1C	EVA1C	ortholog_one2one
NOS1AP	C1orf226	ortholog_one2one
PPP1R12B	PPP1R12B	ortholog_one2one
SGCE	SGCE	ortholog_one2one
PDE10A	PDE10A	ortholog_one2one
NXPH1	NXPH1	ortholog_one2one
OSTN	OSTN	ortholog_one2one
ZYX	ZYX	ortholog_one2one
RPL10A	RPL10A	ortholog_one2one
CPA3	CPA3	ortholog_one2one
HEY2	HEY2	ortholog_one2one
OCM	OCM2	ortholog_many2many
OCM	OCM	ortholog_many2many
HOOK1	HOOK1	ortholog_one2one
NUP133	NUP133	ortholog_one2one
TMEM52	TMEM52	ortholog_one2one
ATP1A2	ATP1A4	ortholog_one2one
CCT3	CCT3	ortholog_one2one
MDN1	MDN1	ortholog_one2one
HOPX	HOPX	ortholog_one2one
GMNC	GMNC	ortholog_one2one
ASL	ASL	ortholog_one2one
STARD3NL	STARD3NL	ortholog_one2one
FANCE	FANCE	ortholog_one2one
U7	RNU7-65P	ortholog_one2one
PAK1IP1	PAK1IP1	ortholog_one2one
EPHA1	EPHA1	ortholog_one2one
CALML6	CALML6	ortholog_one2one
PRDX6	PRDX6	ortholog_one2one
URB1	URB1	ortholog_one2one
FREM3	FREM3	ortholog_one2one
DSP	DSP	ortholog_one2one
ICA1	ICA1	ortholog_one2one
VHLL	VHLL	ortholog_one2one
KCNIP4	KCNIP4	ortholog_one2one
IL1RAP	IL1RAP	ortholog_one2one
SLC9C2	SLC9C2	ortholog_one2one
PPARD	PPARD	ortholog_one2one
PTCHD4	PTCHD4	ortholog_one2one
TMEM79	TMEM79	ortholog_one2one
GYG1	GYG1	ortholog_one2one
LMTK2	LMTK2	ortholog_one2one
ENPP3	ENPP3	ortholog_one2one
EPDR1	EPDR1	ortholog_one2one
NCOA7	NCOA7	ortholog_one2one
ZC2HC1B	ZC2HC1B	ortholog_one2one
ZNF648	ZNF648	ortholog_one2one
C4H6orf52	C6orf52	ortholog_one2one
SFRP4	SFRP4	ortholog_one2one
SPATA46	SPATA46	ortholog_one2one
GLMP	GLMP	ortholog_one2one
OPN5	OPN5	ortholog_one2one
CDC14C	CDC14C	ortholog_one2one
TAS2R60	TAS2R60	ortholog_one2one
MIR556	MIR556	ortholog_one2one
GNB1	GNB1	ortholog_one2one
ANKRD45	ANKRD45	ortholog_one2one
U1	RNU1-105P	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
TAS2R41	TAS2R41	ortholog_one2one
	GYPB	ortholog_one2many
	GYPE	ortholog_one2many
	GYPA	ortholog_one2many
AIRE	AIRE	ortholog_one2one
DEF6	DEF6	ortholog_one2one
OLFML2B	OLFML2B	ortholog_one2one
ZFP42	ZFP42	ortholog_one2one
CASD1	CASD1	ortholog_one2one
TEX50	TEX50	ortholog_one2one
SCARNA1	SCARNA1	ortholog_one2one
GCNT2	GCNT2	ortholog_one2one
FGGY	FGGY	ortholog_one2one
PLAGL1	PLAGL1	ortholog_one2one
TMEM207	TMEM207	ortholog_one2one
MAP7	MAP7	ortholog_one2one
U6	RNU6-1245P	ortholog_one2one
ACTA1	ACTA1	ortholog_one2one
TECPR1	TECPR1	ortholog_one2one
DSE	DSE	ortholog_one2one
NME8	NME8	ortholog_one2one
SNORA63	SNORA63	ortholog_one2one
U6	RNU6-162P	ortholog_many2many
U6	RNU6-267P	ortholog_many2many
SNORA81	SNORA81	ortholog_one2one
ADGRF4	ADGRF4	ortholog_one2one
U6	RNU6-162P	ortholog_many2many
U6	RNU6-267P	ortholog_many2many
CLDN16	CLDN16	ortholog_one2one
SNORA63	SNORA63B	ortholog_one2one
ENPP1	ENPP1	ortholog_one2one
CDS1	CDS1	ortholog_one2one
TSPAN33	TSPAN33	ortholog_one2one
Metazoa_SRP	RN7SL163P	ortholog_one2many
SNORD2	SNORD2	ortholog_one2one
BCKDHB	BCKDHB	ortholog_one2one
U6	RNU6-1105P	ortholog_one2one
KLHL20	KLHL20	ortholog_one2one
KLF3	KLF3	ortholog_one2one
STX11	STX11	ortholog_one2one
DNMT3L	DNMT3L	ortholog_one2one
CLDN1	CLDN1	ortholog_one2one
TCAF2	TCAF2	ortholog_one2one
CCSAP	CCSAP	ortholog_one2one
SNORA58B	SNORA58B	ortholog_one2one
SMG5	SMG5	ortholog_one2one
TRAPPC3L	TRAPPC3L	ortholog_one2one
FAM76A	FAM76A	ortholog_one2one
TFAP2A	TFAP2A	ortholog_one2one
TLR10	TLR10	ortholog_one2one
U6	RNU6-1109P	ortholog_one2one
U6	RNU6-1129P	ortholog_one2one
QRFPR	QRFPR	ortholog_one2one
KNG1	KNG1	ortholog_one2one
		ortholog_one2one
CALHM5	CALHM5	ortholog_one2one
SMO	SMO	ortholog_one2one
GPR141	GPR141	ortholog_one2one
ICOSLG	ICOSLG	ortholog_one2one
CALHM4	CALHM4	ortholog_one2one
P3H2	P3H2	ortholog_one2one
C4H6orf118	C6orf118	ortholog_one2one
COX18	COX18	ortholog_one2one
RIOK1	RIOK1	ortholog_one2one
U6	RNU6-420P	ortholog_one2one
ATF6	ATF6	ortholog_one2one
U6	RNU6-1328P	ortholog_one2one
TLR1	TLR1	ortholog_one2one
TMEM60	TMEM60	ortholog_one2one
CENPL	CENPL	ortholog_one2one
C1H1orf43	C1orf43	ortholog_one2one
TCAF1	TCAF1	ortholog_one2one
	ATP5PB	ortholog_one2many
ZNF76	ZNF76	ortholog_one2one
GPANK1	GPANK1	ortholog_one2one
RAB4A	RAB4A	ortholog_one2one
RWDD1	RWDD1	ortholog_one2one
CCN2	CCN2	ortholog_one2one
TLR6	TLR6	ortholog_one2one
GLCCI1	GLCCI1	ortholog_one2one
AHCYL2	AHCYL2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
HHIP	HHIP	ortholog_one2one
RSPH4A	RSPH4A	ortholog_one2one
CAGE1	CAGE1	ortholog_one2one
JUN	JUN	ortholog_one2one
FAM114A1	FAM114A1	ortholog_one2one
ADGRA3	ADGRA3	ortholog_one2one
DARS2	DARS2	ortholog_one2one
DHX30	DHX30	ortholog_one2one
STAC	STAC	ortholog_one2one
SNORA80A	SNORA80A	ortholog_one2one
DLEC1	DLEC1	ortholog_one2one
BAIAP2L1	BAIAP2L1	ortholog_one2one
MOXD1	MOXD1	ortholog_one2one
	GUSB	ortholog_one2many
mml-mir-190b	MIR190B	ortholog_one2one
U6	RNU6-534P	ortholog_one2one
MRAP	MRAP	ortholog_one2one
U6	RNU6-424P	ortholog_one2one
SPMAP2L	SPMAP2L	ortholog_one2one
GATD3	GATD3	ortholog_one2one
ELMO1	ELMO1	ortholog_one2one
ZUP1	ZUP1	ortholog_one2one
OR2F1	OR2F1	ortholog_one2one
HLTF	HLTF	ortholog_one2one
BEND6	BEND6	ortholog_one2one
SLC12A9	SLC12A9	ortholog_one2one
STOX2	STOX2	ortholog_one2one
UMAD1	UMAD1	ortholog_one2one
IGSF8	IGSF8	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
OR6B1	OR6B1	ortholog_one2one
ADAMTS3	ADAMTS3	ortholog_one2one
VKORC1L1	VKORC1L1	ortholog_one2one
MIS18A	MIS18A	ortholog_one2one
BAG6	BAG6	ortholog_one2one
ARL9	ARL9	ortholog_one2one
TP63	TP63	ortholog_one2one
	COA3	ortholog_one2many
IFI6	IFI6	ortholog_one2one
OR2A5	OR2A5	ortholog_one2one
TMEM156	TMEM156	ortholog_one2one
COL1A2	COL1A2	ortholog_one2one
MYSM1	MYSM1	ortholog_one2one
OR2A25	OR2A25	ortholog_one2one
RPA3	RPA3	ortholog_one2one
STRIP2	STRIP2	ortholog_one2one
OR2A12	OR2A12	ortholog_one2one
SCUBE3	SCUBE3	ortholog_one2one
OR2A2	OR2A2	ortholog_one2one
CD2AP	CD2AP	ortholog_one2one
STX7	STX7	ortholog_one2one
OR2A14	OR2A14	ortholog_one2one
SLC35B3	SLC35B3	ortholog_one2one
	GUSB	ortholog_one2many
TPM3	TPM3	ortholog_one2one
RHOU	RHOU	ortholog_one2one
U6	RNU6-162P	ortholog_many2many
U6	RNU6-267P	ortholog_many2many
TRIP6	TRIP6	ortholog_one2one
ARPP21	ARPP21	ortholog_one2one
KCNJ9	KCNJ9	ortholog_one2one
5S_rRNA	RNA5S14	ortholog_one2one
MIOS	MIOS	ortholog_one2one
	OR2A7	ortholog_one2many
	OR2A4	ortholog_one2many
KPNA5	KPNA5	ortholog_one2one
		ortholog_one2one
MAP3K5	MAP3K5	ortholog_one2one
DCBLD2	DCBLD2	ortholog_one2one
HUNK	HUNK	ortholog_one2one
KLHL5	KLHL5	ortholog_one2one
SRP72	SRP72	ortholog_one2one
	OR2A42	ortholog_one2many
	OR2A1	ortholog_one2many
ENPP6	ENPP6	ortholog_one2one
ZBTB37	ZBTB37	ortholog_one2one
FGR	FGR	ortholog_one2one
NPTX2	NPTX2	ortholog_one2one
PAQR6	PAQR6	ortholog_one2one
ARHGEF5	ARHGEF5	ortholog_one2one
NADK	NADK	ortholog_one2one
ANAPC10	ANAPC10	ortholog_one2one
KCNJ10	KCNJ10	ortholog_one2one
SSR1	SSR1	ortholog_one2one
TBX19	TBX19	ortholog_one2one
HINT3	HINT3	ortholog_one2one
UTRN	UTRN	ortholog_one2one
U6	RNU6-229P	ortholog_one2one
Metazoa_SRP	RN7SL28P	ortholog_one2one
PIGM	PIGM	ortholog_one2one
RTCA	RTCA	ortholog_one2one
		ortholog_one2one
PTN	PTN	ortholog_one2one
U1	RNU1-72P	ortholog_one2one
U6	RNU6-1281P	ortholog_one2one
Metazoa_SRP	RN7SL151P	ortholog_one2one
SERPINC1	SERPINC1	ortholog_one2one
U6	RNU6-1229P	ortholog_one2many
U6	RNU6-973P	ortholog_one2many
SMKR1	SMKR1	ortholog_one2one
SNORD81	SNORD81	ortholog_one2one
SLC35E2	SLC35E2B	ortholog_one2one
	XCL1	ortholog_many2many
	XCL2	ortholog_many2many
U6	RNU6-1335P	ortholog_one2many
U6	RNU6-326P	ortholog_one2many
U6	RNU6-1085P	ortholog_one2many
ICMT	ICMT	ortholog_one2one
COL28A1	COL28A1	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
NOBOX	NOBOX	ortholog_one2one
GBA3	GBA3	ortholog_one2one
FAM162B	FAM162B	ortholog_one2one
SLAMF9	SLAMF9	ortholog_one2one
mml-mir-128b	MIR128-2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
	SNORA15B-2	ortholog_one2many
	SNORA15B-1	ortholog_one2many
mml-mir-1226	MIR1226	ortholog_one2one
	SNORA22	ortholog_one2many
	SNORA22C	ortholog_one2many
ABCE1	ABCE1	ortholog_one2one
AHDC1	AHDC1	ortholog_one2one
BGLAP	SLC25A44	ortholog_one2one
RNF207	RNF207	ortholog_one2one
TRAF3IP2	TRAF3IP2	ortholog_one2one
U6	RNU6-243P	ortholog_one2one
GPRC6A	GPRC6A	ortholog_one2one
TMEM130	TMEM130	ortholog_one2one
mml-mir-553	MIR553	ortholog_one2one
	ZNF716	ortholog_one2one
TAAR5	TAAR5	ortholog_one2one
NRF1	NRF1	ortholog_one2one
IGSF9	IGSF9	ortholog_one2one
TRMT11	TRMT11	ortholog_one2one
	CDK11A	ortholog_one2many
	CDK11B	ortholog_one2many
ST3GAL6	ST3GAL6	ortholog_one2one
SRRT	SRRT	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
Metazoa_SRP	RN7SL431P	ortholog_one2one
SCAF4	SCAF4	ortholog_one2one
NPFFR2	NPFFR2	ortholog_one2one
		ortholog_one2one
EPS15	EPS15	ortholog_one2one
BLOC1S5	TXNDC5	ortholog_one2one
TPK1	TPK1	ortholog_one2one
ACAA1	ACAA1	ortholog_one2one
TAAR2	TAAR2	ortholog_one2one
PWP2	PWP2	ortholog_one2one
RC3H1	RC3H1	ortholog_one2one
IRF2	IRF2	ortholog_one2one
RFX6	RFX6	ortholog_one2one
NUP210L	NUP210L	ortholog_one2one
XCL1	XCL1	ortholog_many2many
XCL1	XCL2	ortholog_many2many
TAAR1	TAAR1	ortholog_one2one
RPL22	RPL22	ortholog_one2one
MMP23	MMP23B	ortholog_one2one
GC	GC	ortholog_one2one
VNN1	VNN1	ortholog_one2one
AOAH	AOAH	ortholog_one2one
		ortholog_one2one
PPARGC1A	PPARGC1A	ortholog_one2one
RREB1	RREB1	ortholog_one2one
CDC5L	CDC5L	ortholog_one2one
OMA1	OMA1	ortholog_one2one
PDCD6IP	PDCD6IP	ortholog_one2one
DPT	DPT	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
U6	RNU6-179P	ortholog_one2one
APOM	APOM	ortholog_one2one
MAP4	MAP4	ortholog_one2one
C1GALT1	C1GALT1	ortholog_one2one
MYD88	MYD88	ortholog_one2one
Metazoa_SRP	RN7SL466P	ortholog_one2one
TCP11	TCP11	ortholog_one2one
SEMA4A	SEMA4A	ortholog_one2one
VGLL2	VGLL2	ortholog_one2one
MIB2	MIB2	ortholog_one2one
FCRLB	FCRLB	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
	RPL10	ortholog_one2many
VNN2	VNN2	ortholog_one2one
ATP1B1	ATP1B1	ortholog_one2one
RAB13	RAB13	ortholog_one2one
PAICS	PAICS	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
FYN	FYN	ortholog_one2one
PRRC2A	PRRC2A	ortholog_one2one
FCRLA	FCRLA	ortholog_one2one
CNTNAP2	CNTNAP2	ortholog_one2one
ASNS	ASNS	ortholog_one2one
SOD1	SOD1	ortholog_one2one
CPOX	CPOX	ortholog_one2one
Metazoa_SRP	RN7SL713P	ortholog_one2one
OXSR1	OXSR1	ortholog_one2one
OTUD4	OTUD4	ortholog_one2one
TNFRSF21	TNFRSF21	ortholog_one2one
mml-mir-944	MIR944	ortholog_one2one
HPS3	HPS3	ortholog_one2one
TAGLN2	TAGLN2	ortholog_one2one
ROS1	ROS1	ortholog_one2one
NME7	NME7	ortholog_one2one
SLC18B1	SLC18B1	ortholog_one2one
PPAT	PPAT	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
WDR19	WDR19	ortholog_one2one
GPR15	GPR15	ortholog_one2one
SNORD79	SNORD79	ortholog_one2one
mml-mir-96	MIR96	ortholog_one2one
		ortholog_one2one
SPATS1	SPATS1	ortholog_one2one
mml-mir-183	MIR183	ortholog_one2one
FNDC10	FNDC10	ortholog_one2one
ANKS1A	ANKS1A	ortholog_one2one
NKX6-1	NKX6-1	ortholog_one2one
BMP6	BMP6	ortholog_one2one
SLC4A4	SLC4A4	ortholog_one2one
FCGR2A	FCGR2C	ortholog_one2many
FCGR2A	FCGR2A	ortholog_one2many
FCGR2A	FCGR2B	ortholog_one2many
ADGRF1	ADGRF1	ortholog_one2one
CFAP45	CFAP45	ortholog_one2one
TAC1	TAC1	ortholog_one2one
U6	RNU6-1314P	ortholog_one2many
U6	RNU6-89P	ortholog_one2many
DST	DST	ortholog_one2one
U6	RNU6-774P	ortholog_one2one
CREB3L4	CREB3L4	ortholog_one2one
CLDND1	CLDND1	ortholog_one2one
SNORA70	SNORA70	ortholog_one2many
SNORA70	SNORA70	ortholog_one2many
SNORA70	SNORA70	ortholog_one2many
UBE2H	UBE2H	ortholog_one2one
U6	RNU6-1184P	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
Metazoa_SRP	RN7SL456P	ortholog_one2one
CENPW	CENPW	ortholog_one2one
LPP	LPP	ortholog_one2one
CHD5	CHD5	ortholog_one2one
CASP3	CASP3	ortholog_one2one
U3	U3	ortholog_one2one
SLC22A13	SLC22A13	ortholog_one2one
BET1	BET1	ortholog_one2one
LMNA	LMNA	ortholog_one2one
SNORA38	SNORA38	ortholog_one2one
Metazoa_SRP	RN7SL72P	ortholog_one2one
GPAT3	GPAT3	ortholog_one2one
DHX15	DHX15	ortholog_one2one
U6	RNU6-200P	ortholog_one2one
Metazoa_SRP	RN7SL554P	ortholog_one2one
AIF1	AIF1	ortholog_one2one
AASDH	AASDH	ortholog_one2one
OR5K2	OR5K2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
DAB1	DAB1	ortholog_one2one
OR5K1	OR5K1	ortholog_one2one
TIAM1	TIAM1	ortholog_one2one
CCN6	CCN6	ortholog_one2one
RSPO3	RSPO3	ortholog_one2one
GNG11	GNG11	ortholog_one2one
	ATAD3A	ortholog_one2many
ZC3HC1	ZC3HC1	ortholog_one2one
BLZF1	BLZF1	ortholog_one2one
ACHE	ACHE	ortholog_one2one
AARS2	AARS2	ortholog_one2one
VSIG8	VSIG8	ortholog_one2one
SYT2	SYT2	ortholog_one2one
GNGT1	GNGT1	ortholog_one2one
SDHAF3	SDHAF3	ortholog_one2one
NCR3	NCR3	ortholog_one2one
mml-mir-28	MIR28	ortholog_one2one
OR5H2	OR5H2	ortholog_one2one
TFPI2	TFPI2	ortholog_one2one
TUBE1	TUBE1	ortholog_one2one
		ortholog_one2one
U6	RNU6-253P	ortholog_one2one
Metazoa_SRP	RN7SL16P	ortholog_one2one
DLX5	DLX5	ortholog_one2one
OR5H14	OR5H14	ortholog_one2one
ADGRF5	ADGRF5	ortholog_one2one
JTB	JTB	ortholog_one2one
SLAMF8	SLAMF8	ortholog_one2one
RPS12	RPS12	ortholog_one2many
CP	CP	ortholog_one2one
	OR5H15	ortholog_one2many
	OR5H1	ortholog_one2many
DLX6	DLX6	ortholog_one2one
TMEM175	TMEM175	ortholog_one2one
SOD3	SOD3	ortholog_one2one
LY86	LY86	ortholog_one2one
MUC3A	MUC3A	ortholog_one2one
RNF146	RNF146	ortholog_one2one
KLHDC10	KLHDC10	ortholog_one2one
SLC22A14	SLC22A14	ortholog_one2one
SNORD101	SNORD101	ortholog_one2one
SLC39A1	SLC39A1	ortholog_one2one
DCBLD1	DCBLD1	ortholog_one2one
Metazoa_SRP	RN7SL252P	ortholog_one2one
SNCA	SNCA	ortholog_one2one
SNORD100	SNORD100	ortholog_one2one
GABRR3	GABRR3	ortholog_one2one
ABRAXAS1	ABRAXAS1	ortholog_one2one
	ERV3-1	ortholog_one2one
FCRL6	FCRL6	ortholog_one2one
CALCR	CALCR	ortholog_one2one
SNORA33	SNORA33	ortholog_one2one
U6	RNU6-235P	ortholog_one2one
RABGAP1L	RABGAP1L	ortholog_one2one
LYRM2	LYRM2	ortholog_one2one
FAM229B	FAM229B	ortholog_one2one
Metazoa_SRP	RN7SL863P	ortholog_one2one
SEM1	SEM1	ortholog_one2one
MEX3A	MEX3A	ortholog_one2one
LST1	LST1	ortholog_one2one
ULK4	ULK4	ortholog_one2one
DUSP23	DUSP23	ortholog_one2one
LTB	LTB	ortholog_one2one
CRTC2	CRTC2	ortholog_one2one
	ATAD3A	ortholog_one2many
RAB25	RAB25	ortholog_one2one
DGKQ	DGKQ	ortholog_one2one
CLASP2	CLASP2	ortholog_one2one
F13A1	F13A1	ortholog_one2one
TAF11	TAF11	ortholog_one2one
CRP	CRP	ortholog_one2one
XYLB	XYLB	ortholog_one2one
TRAPPC10	TRAPPC10	ortholog_one2one
NUS1	NUS1	ortholog_one2one
CCDC181	CCDC181	ortholog_one2one
U7	RNU7-188P	ortholog_one2one
U6	RNU6-364P	ortholog_one2one
CRACD	CRACD	ortholog_one2one
mml-mir-489	MIR489	ortholog_one2one
MRPS18C	MRPS18C	ortholog_one2one
TNF	TNF	ortholog_one2one
U6	RNU6-532P	ortholog_one2one
APCS	APCS	ortholog_one2one
	MUC12	ortholog_one2one
RIOX2	RIOX2	ortholog_one2one
mml-mir-653	MIR653	ortholog_one2one
LAMTOR2	LAMTOR2	ortholog_one2one
EYA4	EYA4	ortholog_one2one
BCL6	BCL6	ortholog_one2one
CCDC149	CCDC149	ortholog_one2one
ECHDC1	ECHDC1	ortholog_one2one
IDUA	IDUA	ortholog_one2one
SLC19A2	SLC19A2	ortholog_one2one
U6	RNU6-139P	ortholog_one2one
UBQLN4	UBQLN4	ortholog_one2one
U6	RNU6-197P	ortholog_one2one
ANLN	ANLN	ortholog_one2one
LTA	LTA	ortholog_one2one
TMEM209	TMEM209	ortholog_one2one
VPS50	VPS50	ortholog_one2one
BLTP3A	BLTP3A	ortholog_one2one
FCER1A	FCER1A	ortholog_one2one
U6	RNU6-877P	ortholog_one2one
ANXA5	ANXA5	ortholog_one2one
SLC35F1	SLC35F1	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
Metazoa_SRP	RN7SL664P	ortholog_one2one
NFKBIL1	NFKBIL1	ortholog_one2one
FCGR3	FCGR3A	ortholog_one2many
FCGR3	FCGR3B	ortholog_one2many
C8B	C8B	ortholog_one2one
SLC26A1	SLC26A1	ortholog_one2one
U6	RNU6-307P	ortholog_one2one
CEP135	CEP135	ortholog_one2one
SLC25A13	SLC25A13	ortholog_one2one
SSR2	SSR2	ortholog_one2one
ANKRD65	ANKRD65	ortholog_one2one
FGFRL1	FGFRL1	ortholog_one2one
TCTE1	TCTE1	ortholog_one2one
F5	F5	ortholog_one2one
CACYBP	CACYBP	ortholog_one2many
TM4SF18	TM4SF18	ortholog_one2one
TTC39A	TTC39A	ortholog_one2one
ATP6V1G2	ATP6V1G2	ortholog_one2one
NRN1	NRN1	ortholog_one2one
DENND4B	DENND4B	ortholog_one2one
ACKR1	ACKR1	ortholog_one2one
TRRAP	TRRAP	ortholog_one2one
KDM5B	KDM5B	ortholog_one2one
DYNC2I1	DYNC2I1	ortholog_one2one
ANKRD6	ANKRD6	ortholog_one2one
HMX1	HMX1	ortholog_one2one
RNF212	RNF212	ortholog_one2one
CDC25A	CDC25A	ortholog_one2one
C8A	C8A	ortholog_one2one
DDX39B	DDX39B	ortholog_one2one
TM4SF1	TM4SF1	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
MRPS14	MRPS14	ortholog_one2one
SELP	SELP	ortholog_one2one
RTP2	RTP2	ortholog_one2one
Metazoa_SRP	RN7SL221P	ortholog_one2one
Metazoa_SRP	RN7SL657P	ortholog_one2one
TCF21	TCF21	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
		ortholog_one2one
ACVR2B	ACVR2B	ortholog_one2one
ARL6	CRYBG3	ortholog_one2one
SST	SST	ortholog_one2one
TBPL1	TBPL1	ortholog_one2one
PEX7	PEX7	ortholog_one2one
CADM3	CADM3	ortholog_one2one
KIAA0408	KIAA0408	ortholog_one2one
LAMA4	LAMA4	ortholog_one2one
SPON2	SPON2	ortholog_one2one
TM4SF4	TM4SF4	ortholog_one2one
	CCNL2	ortholog_one2many
U6	RNU6-481P	ortholog_one2one
TNN	TNN	ortholog_one2one
GATAD2B	GATAD2B	ortholog_one2one
HELQ	HELQ	ortholog_one2one
KRTAP11-1	KRTAP11-1	ortholog_one2one
FYB2	FYB2	ortholog_one2one
SLC2A12	SLC2A12	ortholog_one2one
CFAP126	CFAP126	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2many
U6	RNU6-1150P	ortholog_one2many
U6	RNU6-725P	ortholog_one2many
ARHGEF2	ARHGEF2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
WWTR1	WWTR1	ortholog_one2one
CEP85L	CEP85L	ortholog_one2one
SOGA3	SOGA3	ortholog_one2one
		ortholog_one2one
Metazoa_SRP	RN7SL408P	ortholog_one2one
SDHC	SDHC	ortholog_one2many
SLC25A34	SLC25A34	ortholog_one2one
FARS2	FARS2	ortholog_one2one
SLC35D3	SLC35D3	ortholog_one2one
MASP1	MASP1	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
U8	U8	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
AGPAT3	AGPAT3	ortholog_one2one
U6	RNU6-1098P	ortholog_one2one
SELL	SELL	ortholog_one2one
SNORD83	SNORD84	ortholog_one2one
KIAA0040	KIAA0040	ortholog_one2one
C1H1orf185	C1orf185	ortholog_one2one
SNORD83	SNORD117	ortholog_one2one
C4H6orf58	C6orf58	ortholog_one2one
SLC27A3	SLC27A3	ortholog_one2one
IL20RA	IL20RA	ortholog_one2one
MCCD1	MCCD1	ortholog_one2one
U4	RNU4-57P	ortholog_one2one
MPZ	MPZ	ortholog_one2one
DGKI	DGKI	ortholog_one2one
ILRUN	ILRUN	ortholog_one2one
COMMD2	COMMD2	ortholog_one2one
CDKN2C	CDKN2C	ortholog_one2one
	KRT8	ortholog_one2many
PLEKHM2	PLEKHM2	ortholog_one2one
EXOG	EXOG	ortholog_one2one
MEP1A	MEP1A	ortholog_one2one
UBP1	UBP1	ortholog_one2one
IL22RA2	IL22RA2	ortholog_one2one
U6	RNU6-859P	ortholog_one2one
MIC1	MICA	ortholog_one2many
MIC1	MICB	ortholog_one2many
SGK1	SGK1	ortholog_one2one
VIPR2	VIPR2	ortholog_one2one
HEPACAM2	HEPACAM2	ortholog_one2one
Metazoa_SRP	RN7SL200P	ortholog_one2one
IFNGR1	IFNGR1	ortholog_one2one
